ID_file,leg,class,language,surname,name,year_birth,gender,group,position,length,chunk
48019,XVI,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Bertin,Alberto,1966,M,Presidente,1,130,"Seite d'accordo, interruptiamo qui i lavori et riprendiamo nel pomeriggio... Point n. 32. Consigliere Lucianaz, has spoken."
48019,XVI,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Lucianaz,Diego,1963,M,RV,2,609,"Yes, quickly, the questions look at the situation regarding the problems of the Palafent de Brissogne area; we know that recently there was another offer for the management of the restaurant and bar, we ask if all the infrastructure works planned inside and outside the structure have been carried out and, again, to know if there are changes that are envisaged even by the Regional Administration for the future operation of the area and how we imagine involving in this subject, in this project the Fédérachon Esport de Nohtra Téra."
48019,XVI,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Bertin,Alberto,1966,M,Presidente,3,80,"Ha chiesto la parola il Presidente della Regione per la risposta, ne ha facoltà."
48019,XVI,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Testolin,Renzo,1968,M,UV,4,3873,"First of all, I would like to thank the Councillor for giving us the opportunity to take stock of the situation on the Palafent. There is currently no situation concerning the Palafent structure that prevents its full use from a sporting point of view, moreover, on Monday 18 November the deadline for submitting bids to participate in the public auction, launched by the Fédérachon, for the management of the bar-restaurant closed, as we know, following the dispute with the managing president, expired. As for the work requested by the Fédérachon Esport de Nohtra Téra, I inform you that the following work has been carried out: energy efficiency for the entire structure for a total amount of 350,000 euros; intervention of the water meter users division; the replacement of the drain pump of the wastewater collection tanks and the remote control of its operation, on this point the Public Works Department reports that the problem concerned exclusively the caretaker's accommodation and not the toilet drains of the establishment; the overall intervention to fit out these drains, which is not essential to the use of the infrastructure, will however be scheduled soon after the analysis of the possible intervention alternatives. In addition, the real estate and sports infrastructure structure of the Public Works Department, following the identification of the new manager, will carry out a joint inspection with the Fédérachon to check the functionality of the electrical heating systems, the catering and caretaker's accommodation areas and, possibly, carry out the necessary development and restoration interventions taking into account the priority of our uses, which has lasted more than a year. Finally, the Department of Natural Resources recently entrusted our services for the adaptation of the automated irrigation system of the green space, to optimize the creation of a lawn for their sports activities, for a total of approximately 50,000 euros, work that will be completed we hope very, very soon, between the end of the year, by the end of the year. As for the third point, we therefore confirm the attention of the Regional Government to popular sports, both with regard to the Fédérachon and the sports associations that compose it, as well as with regard to the structure in question; proof of this is that during the year 2024, at the request of Fédérachon, the budgetary allocation of 95,000 euros for traditional sports was increased to 150,000 euros, the additional sum of 55,000 euros was granted as an expense account necessary for the realization of the vast activity carried out for the promotion of traditional sports in schools, given that the amount of the association had remained unchanged for several years, as well as for new activities. The FENT plans in particular to proceed, among other things, with a multilingual reprint of the brochure on traditional sports to be distributed in schools of all levels, as well as at the extra-regional level and for promotional purposes, to participate in international activities organized by the European federations, to create a short video presenting the traditional games of the Aosta Valley, highlighting their social, cultural and geographical context to be distributed on the social networks and websites of the Fédérachon, but also of the international associations of traditional sports, as well as to provide for the digitization of its documentary photographic archives. In this regard, I wanted to emphasize that a meeting is planned very soon with the President of the Fédérachon, with the competent Assessorates to establish a program of initiatives to achieve what still remains to be done."
48019,XVI,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Bertin,Alberto,1966,M,Presidente,5,60,Ha chiesto la parola he consigliere Lucianaz for the replica.
48019,XVI,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Lucianaz,Diego,1963,M,RV,6,557,"Thank you Mr President Testolin, today you surprise me. Well, thank you for the answer, which is quite, quite complete and even elements in addition to what I had asked, so here we can only be satisfied with the answer, we hope that the new manager of the area is someone serious at least, because this structure surely needs good management and, if everything you have just told us is going to be achieved, well, we are surely going in the right direction and we wish the popular sports of the Aosta Valley great success."
48019,XVI,"SPORT E TEMPO LIBERO, Infrastrutture ricreativo-sportive",en,Bertin,Alberto,1966,M,Presidente,7,137,Please note that the Consiglio is responsible for the mattress of the dog. I was ready to return at 3:00 p.m. --- The seduta finished at 12:55.
47950,XVI,"TRASPORTI E VIABILITÀ, Impianti a fune",en,Marguerettaz,Aurelio,1963,M,Presidente,1,100,Let's skip item 67 and get to item 68 on the agenda. Councilor Lavy has the floor.
47950,XVI,"TRASPORTI E VIABILITÀ, Impianti a fune",en,Lavy,Erik,1995,M,LEGA VDA,2,5261,"We have already addressed this issue in the last Council because, in fact, it had been brought to the agenda by colleague Minelli on the DEFR, but perhaps a little more in-depth analysis is necessary, because, in fact, we learned from her hearing in the Commission and from the coordinator - and subsequently she also explained it during the discussion of the agenda - that the Monte Rosa and Cervino companies have moved in the assignment process of the so-called DOCFAP, the Feasibility Document of the Project Alternatives, based on Legislative Decree 36/2023. At the time, when she mentioned this legislative decree, apart from those who are technicians... for us it was absolutely not easy to do an immediate in-depth analysis, because in fact the DOCFAP is regulated in Annex 1.7 of the legislative decree, which is quite substantial. What is the point? The new procurement code has modified the design discipline, providing for two design levels and including, among other things, the Feasibility Document of Design Alternatives, which must be drawn up in compliance with the contents of the requirements framework and is a precursor to the drafting of the Design Direction Document, the so-called DIP. DIP which indicates, in relation to the size, specific typology and category of the intervention to be carried out, the characteristics, requirements and design documents necessary for the definition of each design level. With this DOCFAP, therefore, the first step has been established to begin the design of the work, without the Council having said anything about the study. The same companies in the hearing - I will not report the minutes, because I have not yet understood whether it can be done or not, theoretically not - had however established the fact that the study would then give us Councillors the tools to give the same companies the mandate to proceed with an executive and definitive design. Instead, with this document the study would already be overcome, without us having expressed ourselves, to evaluate the best alternative among those proposed and to begin the design of the work. But it does not seem to me that, precisely, these were the agreements. We are certainly not technicians, but at least to examine the issue in depth, especially the economic-financial one, I believe is absolutely essential, given that the companies have even asked for 100% regional financing. It is fine that they are participated, so the money, on one side or the other, is always public money in some way, however - since the financing requested is a special law that, as for the Skyway, finances 100% - rightly a whole series of considerations must be made. Councilor, you know very well that from our point of view we are absolutely not against the project, on the contrary, but we know that it is a project of truly great importance and therefore certainly all the necessary investigations must be done, as was in fact said. Surely then you will reply that in reality this step forward was traced by the previous DEFRs, precisely in relation to the technical-economic feasibility, but the Council, at least from this side, had a totally marginal role. We have already spoken about it: that there is the political will on the part of the majority to carry forward this project is beyond any doubt, no one questions it at all, on the contrary; however, precisely because it was established that it was the Council that had to contribute and participate in the analysis, in the study and then in any case also in the evaluation of the technical-economic feasibility of the work, I believe this process must be carried forward. I truly hope that there was some sort of misunderstanding between you and the President of the Commission, because in fact it seems that perhaps... but you rightly did not participate in the hearings, so you cannot know what was said and what was not, but perhaps you could have believed that after that hearing we could move forward without any kind of problem and that the analysis of the study was finished, which in reality is absolutely not true. This initiative is precisely to clarify and we want to at least reiterate whether there is the intention to have the Regional Council express its opinion on this study and on the alternatives proposed in it: assuming that we are not technicians, therefore we cannot say whether alternative 1 or alternative 3 is right, pbecause we certainly do not have the expertise, at least, I personally do, to say what is the best thing, but to delve into the matter, given that it is a very substantial study, absolutely yes. ""What is the reason why the companies are proceeding with the assignment of the DOCFAP, in this case ousting the Regional Council, when it was said that the study was preparatory to the DOCFAP"": if we have not given any kind of opinion on the study, I do not understand why we are already moving forward in this direction. Furthermore, ""Whose decision was it"" - whether it was yours, Councilor, or the companies' - ""To proceed with the next assignment of the Feasibility Document of the project alternatives without even communicating it to the Regional Council, if not when the process has already started""."
47950,XVI,"TRASPORTI E VIABILITÀ, Impianti a fune",en,Marguerettaz,Aurelio,1963,M,Presidente,3,65,"For the answer, the floor is given to Councilor Bertschy. He has the right to do so."
47950,XVI,"TRASPORTI E VIABILITÀ, Impianti a fune",en,Bertschy,Luigi Giovanni,1965,M,UV,4,4884,"Thank you, colleague Lavy, also for how you have illustrated the initiative. The topic is probably a topic of great importance and it may also be that, with respect to the terminology at a technical level, there may sometimes be misunderstandings, or even incorrect communication on my part, as on the part of the coordinator, as happened during the hearing. I clarified this during the discussion of the last Council. I come to the answers and then I also try to make two political considerations. On the part of the majority, to come to the first question, ""Whether there is the intention to have the Regional Council express its opinion on the study and on the alternatives proposed in it"", I would not answer this question exactly. Whether there is the political will to continue to discuss it in the Commission and in the Council: yes. I believe that it is necessary, as the President of the Commission also said when speaking on the last occasion: to have a meeting, perhaps a smaller one, to understand what the opposition is asking for in order to do this in-depth work and what we can give, as a political role, to the bodies we have. She said it and I repeat it: on a technical level it would be wrong to replace one another, also because, beyond the competences, there is also a question of responsibility for the procedures envisaged. The majority has no intention of not working openly on this project, we have been doing so since 2020, from the first DEFR, and we have done so subsequently. The DEFR indicate the paths, but these absolutely do not preclude discussion. We need to understand, once and for all - but I am also available for a meeting with the Commissions or with the group leaders, with whoever you want - understand what is meant by expression of the Council, so we go into detail. Several colleagues have requested it, colleague Minelli requested it and colleague Aggravi requested it: let's decide what role we want to give in this phase and let's do it. Of course we didn't want to collaborate on projects of such wide scope and interest. We are very convinced that the operation can go ahead, we have said so; this is also supported by a whole series of expressions from the structures of the regional administration. The Lega group was already saying it then, as I had the opportunity to say during the last discussion in the chamber: even the Lega group, when we made this choice on the DEFR 2022, had considered it a step that was too restrained, so let's welcome the in-depth analysis. I repeat: let's see what is required, whether a further hearing in the Commission on that document, or something else. At point 2, ""What is the reason why the companies are proceeding with the assignment of the Feasibility Document of the project alternatives of the work, ousting the Regional Council, when their leaders have repeatedly stressed that it would be the Regional Council that would decide what should be done"". On this, the question was probably asked following the hearing. In the last Council I said that it is not a new document, the document is the initial one, the one of the assignment of the project, which the companies have considered, pursuant to Legislative Decree 36/2023, Article 41, Annex 1.7 - more than the companies, the professionals who analyzed the study for the company - that it could be a DOCFAP still to be completed, so there was no indication to move forward, rather than give that project the value of DOCFAP. To date it has not yet been approved and the companies, to approve it, obviously also ask the regional administration for clarity on the next steps and the activation of a specific program agreement. This is why in the DEFR of last year and this year we said that it is necessary to start the authorization process, so as to then be able to have the structures express themselves on the entire procedure if necessary. Question 3 is now outdated, in the sense that there has been no indication to move forward, but rather now it is also the companies that are asking the political part - the Council, the Executive, the majority - how to proceed, because a series of elements are missing, in particular, as was said last time, it would be necessary to proceed with the SEA and the VINCA. To move forward, in fact, a process must be regulated at an administrative level, which could be regulated through a program agreement. I repeat that there have perhaps been moments inwhich we have not been sufficiently clear, I say this also because there have been several discussions in this Chamber with my colleague Minelli. It is necessary to understand what role the Council should assume, if it is the Council, or the Commission, if it is the Commission, with respect to the documents we have in our hands today. We will certainly not be the ones to preclude a discussion on the subject."
47950,XVI,"TRASPORTI E VIABILITÀ, Impianti a fune",en,Marguerettaz,Aurelio,1963,M,Presidente,5,42,"For the reply, the floor is given to colleague Lavy."
47950,XVI,"TRASPORTI E VIABILITÀ, Impianti a fune",en,Lavy,Erik,1995,M,LEGA VDA,6,1858,"I am satisfied, I also appreciated the tone with which you said that there is maximum availability. It is true, the question mark was somehow understanding how to work, because it has always been said that the Council has a central role, but it has not been defined how and what it means that the Council has a central role. We should have a meeting between group leaders to decide the next steps to take forward. I think it is absolutely correct and something truthful that there is the will, I think on everyone's part, to discuss this issue. As for the answer to the second question, I understood that you, in fact, have nothing to do with it and I didn't have many doubts about this. In some way, the attitude of the companies leaves me with some question marks, because, perhaps not having had any kind of response from the political side, to understand how the analysis of this study would have progressed, perhaps a phone call to someone on the Council, perhaps not to you, but to the President of the Commission, to understand if the analysis of the study in the Commission would have progressed, perhaps it should have been done. Because, as I said before, the DOCFAP is a preliminary document for the design and it had been reiterated several times that the study was useful to us to then give directions for the design, to carry out these procedures, which was not done. We know very well that, when it comes to certain topics, some doubts arise. I am not talking about you, Councilor, I am talking at the company level, because several times we see certain attitudes that create many questions, to say the least. I therefore appreciate your spirit, I appreciate the fact that in any case it is also up to us, as Councilors, to see each other and decide what we want to summarize this centrality of the Council, so we will certainly update each other."
47952,XVI,"TRASPORTI E VIABILITÀ, Trasporti, Aeroporti",en,Marguerettaz,Aurelio,1963,M,Presidente,1,85,"Item 70 on the agenda. For the presentation, the floor is given to colleague Perron."
47952,XVI,"TRASPORTI E VIABILITÀ, Trasporti, Aeroporti",en,Perron,Simone,1979,M,LEGA VDA,2,2423,"Thank you, Mr President, for the prompt passion with which you give me the floor. We always come to the topic of transport and buses. We are talking about the experimental on-demand public transport service for the connection with the international airport of Milan Malpensa. Highlighted that this line, which was in service from 5 July to 9 September 2024, was operational on Mondays, Fridays, Saturdays, Sundays and holidays; recalled that - this is data from 2016, if I made a mistake in the request the Councillor will correct me, it is data that I found in the Sole 24 Ore - following the acquisition of 100% of Savda by the Arriva Italia group, public road traffic in the Aosta Valley is managed 50% by this company; considering that, looking on the site, the line is currently temporarily suspended and postponed to the next reactivation in December 2024; let's ask three very specific questions. The first: ""What were the results of this experiment during the summer months, whether there was satisfaction"", obviously they pointed out to us the fact that those who have to take the bus to go to Malpensa would have needed this bus even on more days, this is a bit of the rationale of the question, but you will give us information on this; ""What reasons determined the specific limit of days of operation during the period carried out""; ""What intentions does the regional administration have"", so perhaps information is given outside a little earlier than it will happen on the company website, to allow people to know which and when other buses of this type will be there; ""When will the service be reactivated and the possible limitation of operating days in the winter tourist period"". These are the questions. By the way, since we are talking about electric mobility - this is not addressed to anyone in particular, but I stick to the topic perfectly, so as not to incur the reference to the topic that is present in the regulation - Norway is one of the main international producers of oil and one of the first exporters of natural gas in the world, so, even if it had all electric cars, clearly Norway does its own calculations and sells oil and natural gas to the whole world. Then at home it has electric cars and many praise the case of Norway. Brilliant. Let's get to our buses. Thank you, Councilor."
47952,XVI,"TRASPORTI E VIABILITÀ, Trasporti, Aeroporti",en,Marguerettaz,Aurelio,1963,M,Presidente,3,50,"For the answer, the floor is given to Councillor Bertschy."
